Complaint Text,Category
its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,Bad Flight
SFOPDX schedule is still MIA,Late Flight
I flew from NYC to SFO last week and couldnt fully sit in my seat due to two large gentleman on either side of me HELP,Bad Flight
you guys messed up my seating I reserved seating with my friends and you guys gave my seat away I want free internet,Customer Service Issue
status match program I applied and its been three weeks Called and emailed with no response,Customer Service Issue
amazing to me that we cant get any cold air from the vents VX noair worstflightever roasted SFOtoBOS,Bad Flight
hi I just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during Flight Booking Problems,Flight Booking Problems
help left expensive headphones on flight IAD to LAX today Seat A No one answering LampF number at LAX,Customer Service Issue
awaiting my return phone call just would prefer to use your online selfservice option,Customer Service Issue
Your chat support is not working on your site,Customer Service Issue
Hey first time flyer next week excited But Im having a hard time getting my flights added to my Elevate account Help,Flight Booking Problems
hi im so excited about your LGAgtDAL deal but ive been trying book since last week amp the page never loads thx,Flight Booking Problems
I called a weeks ago about adding flights from to my Elevatethey still havent shown uphelp,Customer Service Issue
heyyyy guyyyys been trying to get through for an hour can someone call me please,Customer Service Issue
Hi Virgin Im on hold for minutes are there any earlier flights from LA to NYC tonight earlier than pm,Late Flight
everything was fine until you lost my bag,Lost Luggage
your airline is awesome but your lax loft needs to step up its game for dirty tables and floors,Flight Attendant Complaints
what is going on with customer service Is there anyway to speak to a human asap Thank you,Customer Service Issue
why cant you supp the biz traveler like and have customer service like neverflyvirginforbusiness,Customer Service Issue
youre the best Whenever I begrudgingly use any other airline Im delayed and Late Flight,Late Flight
Im having trouble adding this flight my wife booked to my Elevate account Help,Flight Booking Problems
I like the TV and interesting video Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday,Cancelled Flight
just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin,Late Flight
Is it me or is your website down BTW your new website isnt a great user experience Time for another redesign,Customer Service Issue
I cant check in or add a bag Your website isnt working Ive tried both desktop and mobile,Customer Service Issue
What is your phone number I cant find who to call about a flight reservation,Flight Booking Problems
is anyone doing anything there today Website is useless and no one is answering the phone,Customer Service Issue
why must a traveler miss a flight to Late Flight check a bag I missed my morning appointments and you lost my business sfolax,Late Flight
hows a direct flight FLLgtSFO have unexpected layover in Vegas fuel yet peeps next to me bought for Vegas flight sneaky,Late Flight
your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp,Late Flight
called your service line and was hung up on This is awesome sarcasm,Customer Service Issue
your site is tripping Im trying to check in and Im getting the plain text version I am reluctant to enter any card info,Flight Booking Problems
should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop,Late Flight
Use another browser amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website,Customer Service Issue
And now the flight Flight Booking Problems site is totally down Folks what is the problem,Flight Booking Problems
I like the customer service but a min delay just for connecting passengers seems too long VA,Customer Service Issue
i need to change my flight thats scheduled in hours and min wait time on phone Im calling intern Help,Customer Service Issue
you are failing your customers because your check in process does not link to TSA precheck,Customer Service Issue
your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you,Cancelled Flight
Another delayed flight likingyoulessandless,Late Flight
I need to register a service dog for a first class ticket from SFO gt Dulles The phone queue is an hour or longer Pls advise,Customer Service Issue
why cant we book seats on your flights when we buy them or even during check in Creates so much anxiety frustrated,Flight Booking Problems
Youd think paying an extra bucks RT for luggage might afford you hiring an extra hand at lame,Flight Attendant Complaints
please provide status for flight I cant imagine its on time as the Web indicates dude to weather here andor Dallas,Late Flight
I paid the premium to fly you across the country you Cancelled Flight my flight and offer no check fee or upgrade love Sad face,Cancelled Flight
question is it not possible to book a seat for an infant under Its not giving me the option but we want a seat for him,Flight Booking Problems
I dont understand why you need a DM to give me an answer on if you have a damaged luggage policy,Damaged Luggage
does that mean you dont have a policy for destroyed luggage,Damaged Luggage
having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone phone is minute wait,Customer Service Issue
How do I reschedule my Cancelled Flightled flights online The change button is greyed out,Cancelled Flight
I rang but there is a wait for minutes I can book the same ticket through a vendor fix your site,Flight Booking Problems
got a flight we were told for todaychecked my email and its for TOMORROW This is unacceptable,Late Flight
our flight into lga was Cancelled Flighted Were stuck in Dallas I called to reschedule told I could get a flight for today,Cancelled Flight
why dont any of the pairings include red wine Only white is offered redwineisbetter,Bad Flight
is the website down,Customer Service Issue
Your site seems a little wonked right now May want to have a look Tried on two browsers No CSS,Customer Service Issue
Im disappointed that the agent at the designated silver status check in line closed to assist all pasengers,Customer Service Issue
Is it normal to receive no reply from Central Baggage baggageissues smh,Customer Service Issue
at Logan airport and waiting to checkin for my am flight Checkin desk not open Why,Long Lines
I applied over weeks ago Havent heard back and Im flying this week disappointed,Customer Service Issue
too many apologies You r the worse airlines Dont even respond to your cudtomers,Customer Service Issue
shame on VA for making people spend money in stranded cities when other airlines are landing at JFK Who will reimburse me,Cancelled Flight
too bad you say it takes to days via YOUR confirmation email When I inquired after weeks you claim to weeks,Customer Service Issue
Flight from BOS gt LAS tomorrow was Cancelled Flightled No notification wait times are hour Will you rebook on another airline,Cancelled Flight
for all my flight stuff wrong and did nothing about it Had worst flight ever,Flight Attendant Complaints
trying to book a flight with you guys and your website wont let me about to lose my business,Flight Booking Problems
Just DMd Same issue persisting,Flight Booking Problems
